epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,958.63,1.08532,6.0826,1.50155,0.2438,0.23993,0.12605,0.09624,0.92319,3.33393,1.41972,0.000368875,0.000122958,0.000368875,0.000122958,0.000368875,0.000122958,0.000368875,0.000122958
2,2514.4,0.79778,3.8342,1.22266,0.46301,0.4372,0.39998,0.31748,0.78531,1.75454,1.24685,0.000665727,0.000221909,0.000665727,0.000221909,0.000665727,0.000221909,0.000665727,0.000221909
3,3658.21,0.69018,2.56054,1.09481,0.64994,0.60312,0.64543,0.527,0.7238,1.21596,1.18074,0.000889318,0.000296439,0.000889318,0.000296439,0.000889318,0.000296439,0.000889318,0.000296439
4,4884.34,0.6355,1.7675,1.04071,0.74747,0.68879,0.76944,0.64672,0.67461,0.91558,1.14062,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011
5,5602.14,0.59699,1.28572,1.00949,0.79338,0.74814,0.82644,0.69737,0.64798,0.77509,1.1133,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348
6,6282.59,0.56776,1.02959,0.99299,0.82988,0.77891,0.85727,0.72716,0.63551,0.68617,1.10611,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685
7,8019.21,0.55118,0.88106,0.97866,0.85096,0.82217,0.88145,0.75368,0.60876,0.64023,1.08056,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022
8,9434.16,0.53748,0.78211,0.97131,0.84248,0.81604,0.87931,0.75446,0.60537,0.62923,1.07582,0.00034077,0.00011359,0.00034077,0.00011359,0.00034077,0.00011359,0.00034077,0.00011359
9,10512.2,0.53059,0.73878,0.95851,0.8549,0.82933,0.88976,0.76453,0.60047,0.61008,1.07647,0.00023088,7.696e-05,0.00023088,7.696e-05,0.00023088,7.696e-05,0.00023088,7.696e-05
10,11653.2,0.52051,0.69225,0.95678,0.87662,0.82668,0.89589,0.77206,0.59092,0.58874,1.06473,0.00012099,4.033e-05,0.00012099,4.033e-05,0.00012099,4.033e-05,0.00012099,4.033e-05
